USA,2000,1937482,683
USA,2001,1985252,693
USA,2002,2033022,703
USA,2003,2084178.5,714
USA,2004,2135335,725
USA,2005,2197063.5,738.5
USA,2006,2258792,752
USA,2007,2283148,753.5
USA,2008,2307504,755
USA,2009,2288823,743
USA,2010,2270142,731
USA,2011,2249283,719
USA,2012,2228424,707
USA,2013,2223185.5,700
USA,2014,2217947,693
USA,2015,2145100,666
Canada,2001,35533,115
Canada,2002,35700.5,114.5
Canada,2003,35868,114
Canada,2004,35116.5,110.5
Canada,2005,34365,107
Canada,2006,35908.5,111
Canada,2007,37452,115
Canada,2008,38251.5,116
Canada,2009,39051,117
Canada,2010,39483.5,117
Canada,2011,39916,117
Canada,2012,40471,117.5
Canada,2013,41026,118
Canada,2014,40844.5,116
Canada,2015,40663,114
Mexico,2000,154765,156
Mexico,2001,163826.5,162.5
Mexico,2002,172888,169
Mexico,2003,183388.5,177.5
Mexico,2004,193889,186
Mexico,2005,202014.5,191.5
Mexico,2006,210140,197
Mexico,2007,214947,199.5
Mexico,2008,219754,202
Mexico,2009,219390.5,198
Mexico,2010,219027,194
Mexico,2011,229058,200
Mexico,2012,239089,206
Mexico,2013,247363.5,210
Mexico,2014,255638,214
Mexico,2015,244553.5,203
Mexico,2016,233469,192
Belize,2000,765,320
Belize,2001,858,348.5
Belize,2002,951,377
Belize,2003,1050,405.5
Belize,2004,1149,434
Belize,2005,1256,461.5
Belize,2006,1363,489
Belize,2007,1364,476.5
Belize,2008,1365,464
Belize,2009,1392.5,462
Belize,2010,1420,460
Belize,2011,1491,468
Belize,2012,1562,476
Belize,2013,1544.5,461
Belize,2014,1527,446
Belize,2015,1443,410
Guatemala,2000,6974,62
Guatemala,2001,7525.5,65.5
Guatemala,2002,8077,69
Guatemala,2003,8387.5,69.5
Guatemala,2004,8698,70
Guatemala,2005,8087.5,63.5
Guatemala,2006,7477,57
Guatemala,2007,7817.5,58.5
Guatemala,2008,8158,60
Guatemala,2009,9653,69
Guatemala,2010,11148,78
Guatemala,2011,13080.5,89
Guatemala,2012,15013,100
Guatemala,2013,16719,107.5
Guatemala,2014,18425,115
Guatemala,2015,19728,120
Guatemala,2016,21031,125
Guatemala,2017,21642,128
Honduras,2000,11500,184
Honduras,2001,11501,180
Honduras,2002,11502,176
Honduras,2003,11216.5,168
Honduras,2004,10931,160
Honduras,2005,11054.5,159.5
Honduras,2006,11178,159
Honduras,2007,11284,156.5
Honduras,2008,11390,154
